ï»¿"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover â¹  ","No. of Trades  "
"MRF","EQ","02-Aug-2023","1,03,285.75","1,02,998.00","1,03,199.95","1,02,000.00","1,02,575.00","1,02,589.20","1,02,611.48","3,702","37,98,67,712.15","2,371"
"MRF","EQ","03-Aug-2023","1,02,589.20","1,02,603.00","1,07,600.00","1,01,400.05","1,07,600.00","1,06,973.35","1,05,047.41","23,043","2,42,06,07,459.80","14,174"
"MRF","EQ","04-Aug-2023","1,06,973.35","1,08,469.00","1,11,997.00","1,06,775.35","1,10,804.05","1,11,296.50","1,09,978.42","26,665","2,93,25,74,681.80","15,620"
"MRF","EQ","07-Aug-2023","1,11,296.50","1,11,472.00","1,11,500.00","1,07,912.35","1,08,000.00","1,08,216.25","1,09,364.67","11,175","1,22,21,50,187.40","7,423"
"MRF","EQ","08-Aug-2023","1,08,216.25","1,08,216.25","1,08,830.55","1,05,864.15","1,07,500.00","1,07,634.85","1,07,120.83","11,305","1,21,10,01,017.25","7,561"
"MRF","EQ","09-Aug-2023","1,07,634.85","1,07,634.85","1,07,999.00","1,06,000.00","1,06,500.00","1,06,416.90","1,06,516.17","8,607","91,67,84,688.50","5,811"
"MRF","EQ","10-Aug-2023","1,06,416.90","1,06,400.25","1,06,753.30","1,05,600.05","1,06,753.30","1,06,355.60","1,06,120.72","6,482","68,78,74,500.70","4,550"
"MRF","EQ","11-Aug-2023","1,06,355.60","1,06,750.00","1,06,750.00","1,05,615.60","1,05,822.75","1,05,989.25","1,06,034.11","4,759","50,46,16,309.10","3,521"
"MRF","EQ","14-Aug-2023","1,05,989.25","1,05,711.05","1,06,650.00","1,04,807.00","1,06,253.90","1,06,266.35","1,05,725.14","4,265","45,09,17,733.15","3,016"
"MRF","EQ","16-Aug-2023","1,06,266.35","1,05,500.00","1,06,650.00","1,04,834.35","1,06,498.30","1,06,463.70","1,06,062.04","4,641","49,22,33,928.70","3,603"
"MRF","EQ","17-Aug-2023","1,06,463.70","1,05,905.80","1,06,979.25","1,05,905.80","1,06,830.00","1,06,472.90","1,06,498.51","4,952","52,73,80,620.45","3,666"
"MRF","EQ","18-Aug-2023","1,06,472.90","1,06,500.00","1,08,000.00","1,06,430.05","1,07,776.50","1,07,760.35","1,07,329.61","7,089","76,08,59,607.00","3,700"
"MRF","EQ","21-Aug-2023","1,07,760.35","1,08,500.00","1,08,599.95","1,07,568.10","1,07,760.00","1,07,798.45","1,08,029.19","6,810","73,56,78,789.30","4,230"
"MRF","EQ","22-Aug-2023","1,07,798.45","1,08,300.00","1,08,549.95","1,07,758.00","1,08,226.00","1,08,411.80","1,08,195.50","3,566","38,58,25,168.95","2,483"
"MRF","EQ","23-Aug-2023","1,08,411.80","1,08,410.00","1,09,200.00","1,08,051.15","1,08,399.95","1,08,675.55","1,08,742.24","4,181","45,46,51,287.10","2,625"
"MRF","EQ","24-Aug-2023","1,08,675.55","1,09,399.00","1,09,399.00","1,08,106.00","1,08,500.00","1,08,595.15","1,08,546.65","4,788","51,97,21,343.35","2,569"
"MRF","EQ","25-Aug-2023","1,08,595.15","1,08,127.65","1,08,895.70","1,08,000.55","1,08,491.00","1,08,542.00","1,08,603.44","3,562","38,68,45,449.50","2,146"
"MRF","EQ","28-Aug-2023","1,08,542.00","1,08,523.70","1,08,900.55","1,07,921.55","1,08,300.00","1,08,288.00","1,08,492.80","3,583","38,87,29,711.35","2,424"
"MRF","EQ","29-Aug-2023","1,08,288.00","1,08,353.70","1,09,000.00","1,08,250.85","1,08,810.00","1,08,812.50","1,08,719.30","2,244","24,39,66,120.15","1,520"
"MRF","EQ","30-Aug-2023","1,08,812.50","1,08,999.00","1,09,778.65","1,08,812.50","1,09,749.90","1,09,593.95","1,09,419.78","2,943","32,20,22,398.00","1,946"
"MRF","EQ","31-Aug-2023","1,09,593.95","1,09,677.00","1,09,677.00","1,08,266.35","1,08,623.00","1,08,686.25","1,08,896.73","5,954","64,83,71,122.50","3,867"
"MRF","EQ","01-Sep-2023","1,08,686.25","1,09,500.00","1,09,500.00","1,07,559.05","1,08,041.85","1,07,984.15","1,07,990.51","6,574","70,99,29,596.35","3,624"
"MRF","EQ","04-Sep-2023","1,07,984.15","1,08,499.00","1,08,980.00","1,07,347.55","1,08,400.00","1,08,195.40","1,08,150.62","4,965","53,69,67,830.75","3,329"
"MRF","EQ","05-Sep-2023","1,08,195.40","1,08,453.70","1,08,800.00","1,07,888.15","1,08,800.00","1,08,520.00","1,08,330.28","3,494","37,85,06,005.05","2,090"
"MRF","EQ","06-Sep-2023","1,08,520.00","1,08,250.50","1,09,537.95","1,07,500.00","1,09,424.80","1,09,395.75","1,08,312.91","8,365","90,60,37,523.00","4,038"
"MRF","EQ","07-Sep-2023","1,09,395.75","1,08,831.00","1,09,885.60","1,08,798.80","1,08,801.10","1,09,205.15","1,09,290.66","2,632","28,76,53,028.25","1,743"
"MRF","EQ","08-Sep-2023","1,09,205.15","1,09,300.00","1,09,420.75","1,08,600.20","1,08,800.00","1,08,858.40","1,09,021.95","2,652","28,91,26,199.40","1,726"
"MRF","EQ","11-Sep-2023","1,08,858.40","1,09,450.00","1,09,850.00","1,08,905.00","1,09,800.00","1,09,440.45","1,09,374.78","3,871","42,33,89,760.05","2,504"
"MRF","EQ","12-Sep-2023","1,09,440.45","1,09,800.00","1,09,800.00","1,07,555.05","1,07,858.55","1,07,916.20","1,08,208.36","8,831","95,55,88,044.55","5,736"
"MRF","EQ","13-Sep-2023","1,07,916.20","1,08,108.00","1,09,191.65","1,07,476.80","1,08,800.00","1,09,058.65","1,08,498.91","7,363","79,88,77,452.55","5,185"
"MRF","EQ","14-Sep-2023","1,09,058.65","1,09,000.00","1,11,200.00","1,09,000.00","1,10,801.65","1,11,001.25","1,10,322.29","6,353","70,08,77,487.90","3,797"
"MRF","EQ","15-Sep-2023","1,11,001.25","1,11,000.00","1,12,727.95","1,08,539.70","1,09,151.00","1,09,233.85","1,10,457.65","14,149","1,56,28,65,237.80","8,735"
"MRF","EQ","18-Sep-2023","1,09,233.85","1,09,666.00","1,09,798.75","1,08,060.00","1,08,800.00","1,09,003.95","1,08,823.62","7,075","76,99,27,142.30","5,016"
